2026-08-30 09:15:54Z ok [cloud] 16.3s events: - | eq=9590.75 pos=1
2026-08-30 09:30:48Z RF ok: - | C2=12354.49 C3b=14195.19
2026-08-30 09:30:48Z ok [cloud] 17.6s events: - | eq=9582.36 pos=1
2026-08-30 09:45:46Z RF ok: - | C2=12354.49 C3b=14195.19
2026-08-30 09:45:46Z ok [cloud] 15s events: - | eq=9585.5 pos=1
2026-08-30 10:00:44Z RF ok: - | C2=12354.49 C3b=14195.19
2026-08-30 10:00:44Z ok [cloud] 13.5s events: - | eq=9590.4 pos=1
2026-08-30 10:15:47Z RF ok: - | C2=12366.44 C3b=14216.21
2026-08-30 10:15:47Z ok [cloud] 17.3s events: - | eq=9590.05 pos=1
2026-08-30 10:30:56Z RF ok: - | C2=12366.44 C3b=14216.21
2026-08-30 10:30:56Z ok [cloud] 14.4s events: - | eq=9594.94 pos=1
2026-08-30 10:41:44Z RF ok: - | C2=12366.44 C3b=14216.21
2026-08-30 10:41:44Z ok [cloud] 14.3s events: - | eq=9600.54 pos=1
2026-08-30 10:45:44Z RF ok: - | C2=12366.44 C3b=14216.21
2026-08-30 10:45:44Z ok [cloud] 13.4s events: - | eq=9606.49 pos=1
2026-08-30 11:00:51Z RF ok: - | C2=12366.44 C3b=14216.21
2026-08-30 11:00:51Z ok [cloud] 13.5s events: - | eq=9607.18 pos=1
2026-08-30 11:15:45Z RF ok: - | C2=12366.99 C3b=14217.64
2026-08-30 11:15:45Z ok [cloud] 12.7s events: - | eq=9608.58 pos=1
2026-08-30 11:30:46Z RF ok: - | C2=12366.99 C3b=14217.64
2026-08-30 11:30:46Z ok [cloud] 14.8s events: - | eq=9601.59 pos=1
2026-08-30 11:45:40Z RF ok: - | C2=12366.99 C3b=14217.64
2026-08-30 11:45:40Z ok [cloud] 14.3s events: - | eq=9603.34 pos=1
2026-08-30 12:03:04Z scan 4h bar=2026-08-30 08:00: pass=1/20 (AVAX-USDT long), btc=up fng=69 flat=off
2026-08-30 12:03:12Z RF ok: - | C2=12366.99 C3b=14217.64
2026-08-30 12:03:12Z ok [cloud] 134.2s events: - | eq=9605.09 pos=1
2026-08-30 12:15:52Z RF ok: - | C2=12385.64 C3b=14250.42
2026-08-30 12:15:52Z ok [cloud] 14.6s events: - | eq=9609.98 pos=1
2026-08-30 12:30:46Z RF ok: - | C2=12385.64 C3b=14250.42
2026-08-30 12:30:46Z ok [cloud] 14.8s events: - | eq=9606.83 pos=1
2026-08-30 12:45:39Z RF ok: - | C2=12385.64 C3b=14250.42
2026-08-30 12:45:39Z ok [cloud] 13.9s events: - | eq=9606.49 pos=1
2026-08-30 13:00:49Z RF ok: - | C2=12385.64 C3b=14250.42
2026-08-30 13:00:49Z ok [cloud] 14.9s events: - | eq=9609.28 pos=1
2026-08-30 13:13:46Z RF ok: - | C2=12385.43 C3b=14249.97
2026-08-30 13:13:46Z ok [cloud] 14.2s events: - | eq=9604.74 pos=1
2026-08-30 13:15:40Z RF ok: - | C2=12378.17 C3b=14236.96
2026-08-30 13:15:40Z ok [cloud] 13.7s events: - | eq=9607.18 pos=1
2026-08-30 13:28:43Z RF ok: - | C2=12378.17 C3b=14236.96
